path,title,headings,topic_number,category,file_type,date_sensitive,modified_date
00-知识刷新/inventory/2026-05-26-inventory.md,知识清单 - 2026-05-26,# 知识清单 - 2026-05-26,00,知识刷新,正式主题笔记,是,2026-05-26
00-知识刷新/reports/2026-05-26-refresh.md,阿里巴巴电商知识库刷新报告 - 2026-05-26,# 阿里巴巴电商知识库刷新报告 - 2026-05-26 | ## 基本信息 | ## 扫描结果 | ## 本轮新增 | ## 本轮更新 | ## 缺失主题 | ## 过时风险 | ## 延后处理,00,知识刷新,正式主题笔记,是,2026-05-26
00-知识刷新/主题地图.md,阿里巴巴电商知识库主题地图,# 阿里巴巴电商知识库主题地图 | ## 覆盖原则 | ## 核心主题 | ## 时效性主题,00,知识刷新,正式主题笔记,是,2026-05-26
00-知识刷新/报告模板.md,阿里巴巴电商知识库刷新报告模板,# 阿里巴巴电商知识库刷新报告模板 | ## 基本信息 | ## 扫描结果 | ## 本轮新增 | ## 本轮更新 | ## 缺失主题 | ## 过时风险 | ## 延后处理,00,知识刷新,正式主题笔记,否,2026-05-26
00-知识刷新/运行手册.md,阿里巴巴电商知识库刷新运行手册,# 阿里巴巴电商知识库刷新运行手册 | ## 固定流程 | ## 完成标准,00,知识刷新,正式主题笔记,是,2026-05-26
01-平台基础/阿里巴巴电商体系总览.md,阿里巴巴电商体系总览,# 阿里巴巴电商体系总览 | ## 核心认知 | ## 主要平台定位 | ## 业务模式差异 | ### 1. 1688：采购和供应链逻辑 | ### 2. Alibaba.com：国际 B2B 获客逻辑 | ### 3. 淘宝/天猫：零售转化逻辑 | ## 学习路径,01,平台基础,总览/进度文件,是,2026-05-26
02-1688/1688采购与供应链基础.md,1688 采购与供应链基础,# 1688 采购与供应链基础 | ## 核心认知 | ## 采购流程 | ## 供应商判断 | ## 价格与 MOQ | ## 打样与质检 | ## 常见风险 | ## 采购建议,02,1688,正式主题笔记,是,2026-05-26
03-Alibaba国际站/Alibaba国际站运营基础.md,Alibaba.com / 阿里国际站运营基础,# Alibaba.com / 阿里国际站运营基础 | ## 核心认知 | ## 运营对象 | ## 基础链路 | ## 产品发布重点 | ## 询盘与 RFQ | ## Trade Assurance | ## 关键指标,03,Alibaba国际站,正式主题笔记,是,2026-05-26
04-采购供应链/供应商筛选与验厂.md,供应商筛选与验厂,# 供应商筛选与验厂 | ## 核心认知 | ## 筛选维度 | ## 验厂层级 | ## 输出物,04,采购供应链,正式主题笔记,是,2026-05-26
05-商品发布/商品发布与询盘转化.md,商品发布与询盘转化,# 商品发布与询盘转化 | ## 核心认知 | ## 商品页结构 | ## 标题公式 | ## 询盘转化 | ## 跟进节奏,05,商品发布,正式主题笔记,是,2026-05-26
06-询盘转化/询盘分层与报价SOP.md,询盘分层与报价 SOP,# 询盘分层与报价 SOP | ## 询盘分层 | ## 报价前确认 | ## 报价结构 | ## 跟进原则,06,询盘转化,正式主题笔记,是,2026-05-26
07-交易履约/交易保障支付结算与履约风险.md,交易保障、支付结算与履约风险,# 交易保障、支付结算与履约风险 | ## 核心认知 | ## Trade Assurance 使用要点 | ## 支付方式 | ## 履约风险 | ## 证据链 | ## 来源与更新依据,07,交易履约,正式主题笔记,是,2026-05-26
08-支付结算/支付结算基础.md,支付结算基础,# 支付结算基础 | ## 核心认知 | ## 结算关注点 | ## 管理建议,08,支付结算,正式主题笔记,是,2026-05-26
09-营销获客/营销获客基础.md,营销获客基础,# 营销获客基础 | ## 获客来源 | ## 运营重点,09,营销获客,正式主题笔记,是,2026-05-26
10-数据分析/数据分析基础.md,数据分析基础,# 数据分析基础 | ## 指标框架 | ## 分析思路,10,数据分析,正式主题笔记,是,2026-05-26
11-风控合规/风控合规基础.md,风控合规基础,# 风控合规基础 | ## 风险类型 | ## 基础原则,11,风控合规,正式主题笔记,是,2026-05-26
12-淘系天猫/淘宝天猫基础运营.md,淘宝天猫基础运营,# 淘宝天猫基础运营 | ## 核心认知 | ## 基础模块 | ## 和 B2B 的区别,12,淘系天猫,正式主题笔记,否,2026-05-26
index.md,阿里巴巴电商知识库,# 阿里巴巴电商知识库 | ## 快速入口 | ## 知识模块,,index.md,总览/进度文件,是,2026-05-26
